id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
12,创鸿嘉园,南沙,320,22526元/平米,4室1厅1厨2卫,低楼层 (共31层),142.06㎡,平层,114.32㎡,塔楼,南,钢混结构,毛坯,两梯三户,有,null,2019-08-25,商品房,2016-08-12,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片
13,金德苑,白云,182,24052元/平米,2室2厅1厨1卫,高楼层 (共9层),75.67㎡,平层,暂无数据,塔楼,南,钢混结构,其他,一梯十六户,无,null,2019-11-07,商品房,2014-12-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
14,前进路,海珠,80,26649元/平米,1室0厅1厨1卫,中楼层 (共9层),30.02㎡,平层,27.12㎡,塔楼,南,钢混结构,简装,一梯四户,无,null,2020-03-26,商品房,2008-01-03,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
15,南沙奥园,南沙,235,17517元/平米,3室2厅1厨2卫,低楼层 (共11层),134.16㎡,平层,暂无数据,塔楼,南,钢混结构,其他,一梯两户,有,null,2019-12-15,商品房,2016-07-15,普通住宅,满两年,非共有,"
                                有抵押 60万元 客户偿还
                              ",已上传房本照片
16,榕景园,黄埔,246,32532元/平米,2室2厅1厨1卫,低楼层 (共9层),75.62㎡,平层,64.57㎡,塔楼,东北,钢混结构,其他,一梯六户,有,null,2020-04-10,商品房,2016-11-09,普通住宅,满两年,非共有,"
                                有抵押 50万元 建行 客户偿还
                              ",已上传房本照片
17,南洲花苑AB区,海珠,238,26232元/平米,3室2厅1厨1卫,高楼层 (共9层),90.73㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯十户,暂无数据,null,2019-10-04,商品房,1994-08-09,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
18,富力金港城东区,花都,135,13437元/平米,3室2厅1厨1卫,中楼层 (共9层),100.47㎡,平层,80.58㎡,塔楼,北,钢混结构,精装,一梯四户,有,null,2019-11-25,商品房,2013-03-06,普通住宅,满五年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片
19,合益小区,白云,190,19408元/平米,3室1厅1厨1卫,高楼层 (共9层),97.9㎡,平层,92.12㎡,塔楼,东南,钢混结构,精装,一梯五户,无,null,2019-09-17,商品房,2014-03-12,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
20,华南碧桂园漾翠苑,番禺,240,29851元/平米,2室2厅1厨1卫,中楼层 (共7层),80.4㎡,平层,72.6㎡,塔楼,东北,钢混结构,简装,一梯四户,无,null,2020-04-01,商品房,2008-11-26,普通住宅,满五年,非共有,"
                                有抵押 20万元 工商银行 业主自还
                              ",已上传房本照片
21,溢盈湖畔别墅,花都,90,9953元/平米,3室2厅1厨2卫,中楼层 (共5层),90.43㎡,复式,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,null,2019-10-16,商品房,2013-04-26,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
22,新中路,花都,60,8625元/平米,2室1厅1厨1卫,高楼层 (共9层),69.56㎡,平层,暂无数据,板楼,东 南,钢混结构,简装,一梯十一户,无,null,2020-03-25,商品房,2015-04-01,普通住宅,满五年,非共有,"
                                有抵押 16万元 客户偿还
                              ",已上传房本照片
23,金碧花园第一金碧,海珠,230,36147元/平米,2室1厅1厨1卫,低楼层 (共22层),63.63㎡,平层,50㎡,塔楼,东,钢混结构,简装,两梯九户,有,null,2019-02-28,商品房,2017-02-07,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
24,海关大院,黄埔,260,27957元/平米,3室1厅1厨1卫,低楼层 (共30层),93㎡,平层,暂无数据,塔楼,北,钢混结构,简装,三梯八户,有,null,2019-03-04,商品房,1997-05-22,普通住宅,满五年,共有,"
                                有抵押 客户偿还
                              ",已上传房本照片
25,华南苑,花都,115,10560元/平米,3室2厅1厨1卫,高楼层 (共9层),108.91㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,一梯十户,无,null,2019-05-13,商品房,2006-11-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
26,龙光棕榈水岸北区,南沙,270,25350元/平米,3室2厅1厨2卫,中楼层 (共18层),106.51㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯三户,有,null,2019-10-20,商品房,2014-07-30,普通住宅,满五年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片
27,广州海伦堡,增城,335,18658元/平米,5室2厅1厨2卫,高楼层 (共7层),179.55㎡,复式,164.87㎡,塔楼,东南,钢混结构,精装,一梯四户,无,null,2019-03-03,商品房,2007-08-13,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
28,越秀滨海隽城,南沙,280,24885元/平米,3室2厅1厨2卫,高楼层 (共16层),112.52㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯三户,有,null,2020-04-07,商品房,2013-11-11,普通住宅,满五年,非共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片
29,森语星园,海珠,268,33660元/平米,2室2厅1厨1卫,中楼层 (共29层),79.62㎡,平层,66.01㎡,塔楼,西南,钢混结构,简装,三梯六户,有,null,2018-08-05,商品房,2007-10-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
30,荔湖明苑,荔湾,440,40408元/平米,3室1厅1厨1卫,中楼层 (共13层),108.89㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,两梯四户,有,null,2020-03-12,商品房,2016-07-01,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
31,中铁荔湾国际城,荔湾,420,37087元/平米,3室2厅1厨2卫,高楼层 (共33层),113.25㎡,平层,89.71㎡,塔楼,东南,钢混结构,其他,两梯五户,有,null,2019-10-13,商品房,2015-12-09,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片
32,中大城,南沙,100,19937元/平米,2室2厅1厨1卫,中楼层 (共20层),50.16㎡,暂无数据,暂无数据,塔楼,东,钢混结构,精装,四梯十八户,有,民水,民电,3.45元/m3,2019-06-22,商品房,2016-08-08,商住两用,满两年,共有,"
                                无抵押
                              ",已上传房本照片
33,金河湾花园一期,花都,140,16379元/平米,3室1厅1厨1卫,中楼层 (共8层),85.48㎡,平层,暂无数据,塔楼,北,钢混结构,简装,一梯四户,无,null,2019-12-19,商品房,2008-01-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
34,泰沙路,海珠,175,27893元/平米,3室1厅1厨1卫,低楼层 (共3层),62.74㎡,平层,暂无数据,暂无数据,南,未知结构,精装,一梯一户,无,null,2019-07-07,商品房,2017-04-11,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
35,金名都,南海,246,27033元/平米,3室2厅1厨2卫,中楼层 (共26层),91㎡,平层,暂无数据,板塔结合,西北,框架结构,精装,两梯四户,有,null,2019-11-19,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 60万元
                              ",未上传房本照片
36,保利东江首府,增城,466,20975元/平米,4室2厅1厨2卫,中楼层 (共36层),222.17㎡,平层,179.48㎡,塔楼,南,钢混结构,精装,两梯两户,有,null,2020-03-03,商品房,2017-12-11,普通住宅,满两年,非共有,"
                                有抵押 160万元 银行 业主自还
                              ",已上传房本照片
37,北站路,越秀,145,18822元/平米,3室1厅1厨1卫,高楼层 (共9层),77.04㎡,平层,暂无数据,塔楼,南,钢混结构,简装,一梯十一户,无,null,2020-04-03,商品房,2010-02-01,普通住宅,满五年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片
38,金碧花园第二金碧,海珠,265,40415元/平米,2室2厅1厨1卫,高楼层 (共33层),65.57㎡,平层,51.56㎡,塔楼,南,钢混结构,简装,三梯六户,有,null,2019-10-23,商品房,2003-07-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
39,叠翠峰,南沙,233,25752元/平米,3室2厅1厨1卫,中楼层 (共31层),90.48㎡,平层,暂无数据,塔楼,北,钢混结构,其他,两梯六户,有,null,2020-01-11,商品房,2014-08-08,普通住宅,满五年,共有,"
                                有抵押 60万元 建设银行
                              ",已上传房本照片
40,金河湾花园二期,花都,165,12536元/平米,3室2厅1厨2卫,高楼层 (共8层),131.63㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,一梯六户,无,null,2020-02-18,商品房,2017-05-12,普通住宅,满两年,共有,"
                                有抵押 60万元 农业银行
                              ",已上传房本照片
41,时代水岸,南海,277,24514元/平米,4室2厅1厨2卫,中楼层 (共34层),113㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯六户,有,null,2019-07-24,商品房,2019-03-18,普通住宅,未满两年,暂无数据,"
                                有抵押 150
                              ",未上传房本照片
42,荔山雅筑,从化,135,9643元/平米,4室2厅1厨2卫,高楼层 (共6层),140㎡,复式,暂无数据,塔楼,南,钢混结构,毛坯,一梯两户,暂无数据,null,2020-03-04,商品房,2018-02-28,普通住宅,满两年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片
43,豪利花园,花都,210,19649元/平米,3室2厅1厨1卫,低楼层 (共15层),106.88㎡,平层,87.96㎡,塔楼,北,钢混结构,精装,两梯六户,有,null,2019-09-27,商品房,2014-05-23,普通住宅,满五年,共有,"
                                有抵押 9万元 客户偿还
                              ",已上传房本照片
44,万科东荟城,黄埔,305,35623元/平米,3室2厅1厨1卫,低楼层 (共28层),85.62㎡,平层,70.43㎡,塔楼,北,钢混结构,精装,两梯六户,有,null,2020-03-31,商品房,2017-04-28,普通住宅,满两年,共有,"
                                有抵押 100万元 客户偿还
                              ",已上传房本照片
45,上城湾畔东区,从化,180,21004元/平米,3室2厅1厨1卫,高楼层 (共17层),85.7㎡,平层,暂无数据,塔楼,东北,钢混结构,精装,两梯六户,有,null,2018-11-07,商品房,2011-05-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
46,人盛巴厘天地,从化,150,12514元/平米,3室2厅1厨2卫,高楼层 (共17层),119.87㎡,平层,95.07㎡,塔楼,东南,钢混结构,其他,两梯三户,有,null,2020-01-05,商品房,2012-05-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
47,雅居乐锦城花漾集,花都,79,16459元/平米,1室1厅1厨1卫,高楼层 (共32层),48㎡,平层,36.83㎡,塔楼,北,钢混结构,精装,四梯十五户,有,null,2018-09-01,商品房,2016-06-11,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片
48,益登华庭,花都,100,8856元/平米,3室2厅1厨2卫,低楼层 (共12层),112.93㎡,平层,91.82㎡,塔楼,南,钢混结构,简装,一梯八户,有,null,2019-09-01,商品房,2017-05-02,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
49,祈福新村晓峰园,番禺,360,27907元/平米,3室2厅2厨2卫,高楼层 (共35层),129㎡,平层,103.58㎡,塔楼,北,钢混结构,精装,三梯八户,有,null,2019-01-19,商品房,2016-06-14,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
50,和平南小区,荔湾,306,35545元/平米,3室1厅1厨1卫,中楼层 (共9层),86.09㎡,平层,77.79㎡,塔楼,南 北,钢混结构,简装,一梯两户,无,null,2019-10-22,商品房,2017-10-24,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
51,云顶花园,白云,153,21017元/平米,2室1厅1厨1卫,高楼层 (共9层),72.8㎡,平层,暂无数据,塔楼,北,钢混结构,简装,一梯四户,无,null,2020-04-07,商品房,2014-11-18,普通住宅,满五年,共有,"
                                有抵押 90万元
                              ",已上传房本照片
52,金碧花园第三金碧,海珠,175,44861元/平米,1室1厅1厨1卫,高楼层 (共32层),39.01㎡,平层,32.13㎡,板楼,南,钢混结构,精装,两梯六户,有,null,2020-04-04,商品房,2015-12-14,普通住宅,满两年,共有,"
                                有抵押 65万元
                              ",已上传房本照片
53,白天鹅花园,南海,105,15442元/平米,2室1厅1厨2卫,高楼层 (共9层),68㎡,平层,暂无数据,塔楼,北,钢混结构,精装,两梯三户,有,null,2018-04-20,商品房,1997-05-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
54,碧桂园凤凰城凤馨苑,增城,270,26612元/平米,3室2厅1厨2卫,低楼层 (共11层),101.46㎡,平层,84.12㎡,塔楼,北,钢混结构,其他,一梯四户,有,null,2020-03-20,商品房,2009-11-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
55,时代玫瑰园,白云,360,41585元/平米,3室1厅1厨1卫,低楼层 (共18层),86.57㎡,平层,暂无数据,塔楼,东 东南,钢混结构,简装,两梯四户,有,null,2019-11-02,商品房,2011-02-09,普通住宅,满五年,非共有,"
                                有抵押 20万元 业主自还
                              ",已上传房本照片
56,市桥大南路,番禺,86,18778元/平米,2室1厅1厨1卫,中楼层 (共5层),45.8㎡,平层,37.64㎡,板楼,南,砖混结构,精装,一梯四户,无,null,2019-07-02,商品房,2011-07-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
57,繁华路,番禺,130,16456元/平米,2室1厅1厨1卫,高楼层 (共7层),79㎡,平层,73.38㎡,板塔结合,南,混合结构,其他,一梯四户,无,null,2020-04-02,商品房,2009-07-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
58,鸿图苑,荔湾,230,26437元/平米,2室2厅1厨1卫,中楼层 (共9层),87㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,一梯六户,无,null,2019-04-12,商品房,2017-03-13,普通住宅,满两年,非共有,"
                                有抵押 85万元 工行 业主自还
                              ",已上传房本照片
59,大壮国际广场,黄埔,100,21040元/平米,1室1厅1厨1卫,高楼层 (共17层),47.53㎡,复式,38.47㎡,板楼,南 北,钢混结构,精装,三梯二十六户,有,商水,商电,3.45元/m3,2019-04-16,商品房,2017-06-08,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
60,穗花新村,海珠,245,42082元/平米,2室1厅1厨1卫,中楼层 (共9层),58.22㎡,平层,暂无数据,塔楼,东,钢混结构,简装,一梯四户,无,null,2019-10-10,商品房,2003-04-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
61,广州星河湾畅心园,番禺,460,37798元/平米,3室2厅1厨2卫,高楼层 (共9层),121.7㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,一梯四户,有,null,2019-12-03,商品房,2017-06-12,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
62,粤信广场,海珠,290,36287元/平米,2室1厅1厨1卫,中楼层 (共9层),79.92㎡,平层,暂无数据,塔楼,东,钢混结构,简装,一梯六户,无,null,2019-06-02,商品房,2016-06-04,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
63,祈福新村海晴居,番禺,345,33725元/平米,3室2厅1厨2卫,中楼层 (共6层),102.3㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,无,null,2018-10-16,商品房,2002-07-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
64,万科四季花城富竹轩,南海,500,37594元/平米,6室3厅1厨3卫,低楼层 (共3层),133㎡,平层,暂无数据,板楼,东南,钢混结构,精装,一梯两户,无,null,2019-08-29,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
65,万科四季花城伴山美筑,南海,495,40574元/平米,3室2厅1厨2卫,高楼层 (共16层),122㎡,跃层,暂无数据,塔楼,西,钢混结构,简装,两梯三户,有,null,2020-02-21,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
66,侨雅苑(海珠区),海珠,375,40471元/平米,3室2厅1厨1卫,中楼层 (共9层),92.66㎡,平层,83.08㎡,塔楼,东,钢混结构,其他,一梯八户,无,null,2020-03-11,商品房,2001-03-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
67,新世界逸彩庭园,荔湾,269,34356元/平米,2室1厅1厨1卫,高楼层 (共19层),78.3㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯七户,有,null,2019-11-29,商品房,2004-12-02,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
68,花城苑,花都,153,13395元/平米,3室2厅1厨1卫,中楼层 (共8层),114.23㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,一梯七户,无,null,2019-10-16,商品房,1999-09-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
69,天马丽苑二期,花都,160,15363元/平米,3室2厅1厨1卫,高楼层 (共34层),104.15㎡,平层,暂无数据,塔楼,北,钢混结构,精装,三梯十七户,有,null,2020-04-08,商品房,2019-01-01,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
70,锦绣新天地,增城,146,19496元/平米,2室2厅1厨1卫,中楼层 (共17层),74.89㎡,平层,暂无数据,塔楼,东北,钢混结构,其他,两梯五户,有,null,2020-03-24,商品房,2018-01-25,普通住宅,满两年,非共有,"
                                有抵押 98万元 中行 业主自还
                              ",已上传房本照片
71,锦绣御景国际二期,增城,176,20993元/平米,2室1厅1厨1卫,低楼层 (共32层),83.84㎡,平层,71.5㎡,塔楼,北,钢混结构,精装,两梯六户,有,null,2019-08-28,商品房,2016-04-15,普通住宅,满两年,共有,"
                                有抵押 40万元
                              ",已上传房本照片
72,光大花园,海珠,350,49048元/平米,2室1厅1厨1卫,低楼层 (共11层),71.36㎡,平层,59.89㎡,塔楼,东北,钢混结构,其他,一梯六户,有,null,2020-03-22,商品房,2015-05-22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
73,站前路,花都,82,9161元/平米,3室2厅1厨1卫,高楼层 (共8层),89.51㎡,平层,暂无数据,暂无数据,东,未知结构,其他,一梯两户,暂无数据,null,2020-01-17,商品房,1996-05-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
74,金港花园,黄埔,325,31863元/平米,3室2厅1厨2卫,中楼层 (共24层),102㎡,平层,85.31㎡,塔楼,北,钢混结构,其他,两梯八户,有,null,2020-01-03,商品房,2008-12-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
75,金雅苑,海珠,320,50157元/平米,2室1厅1厨1卫,中楼层 (共21层),63.8㎡,平层,54.57㎡,塔楼,北,钢混结构,其他,两梯八户,有,null,2019-11-17,商品房,2010-09-30,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片
76,中海誉城北苑,黄埔,210,27632元/平米,2室2厅1厨1卫,低楼层 (共33层),76㎡,平层,暂无数据,塔楼,东北,钢混结构,精装,两梯十户,有,null,2019-06-15,商品房,2018-03-22,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片
77,吉祥北园,番禺,185,23125元/平米,2室2厅1厨1卫,高楼层 (共7层),80㎡,平层,暂无数据,板塔结合,东南,钢混结构,简装,一梯四户,无,null,2019-03-03,商品房,2012-11-05,普通住宅,满五年,非共有,"
                                有抵押 10万元 工商银行 业主自还
                              ",已上传房本照片
78,碧桂园凤凰城凤妍苑,增城,200,21053元/平米,3室2厅1厨1卫,高楼层 (共17层),95㎡,平层,暂无数据,塔楼,北,钢混结构,简装,两梯四户,有,null,2020-03-30,商品房,2013-04-09,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片
79,和平南小区,荔湾,209,37044元/平米,2室1厅1厨1卫,中楼层 (共9层),56.42㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,一梯两户,无,null,2019-10-08,商品房,2015-07-11,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
80,富力金港城东区,花都,185,14538元/平米,3室2厅1厨2卫,高楼层 (共18层),127.26㎡,平层,105.02㎡,塔楼,北,钢混结构,其他,两梯六户,有,null,2019-12-08,商品房,2014-11-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
81,倚绿山庄,白云,280,30770元/平米,3室2厅1厨1卫,低楼层 (共6层),91㎡,平层,82.71㎡,塔楼,西,钢混结构,精装,一梯六户,无,null,2019-04-23,商品房,2011-04-28,普通住宅,满五年,非共有,"
                                有抵押 50万元 业主自还
                              ",已上传房本照片
82,潭洲博爱商场,南沙,85,7405元/平米,3室1厅1厨2卫,高楼层 (共8层),114.8㎡,平层,暂无数据,塔楼,南,钢混结构,简装,一梯四户,无,null,2019-10-15,商品房,2017-04-06,普通住宅,满两年,非共有,"
                                有抵押 65万元 中国建设银行 客户偿还
                              ",已上传房本照片
83,云山诗意,白云,460,47340元/平米,3室1厅1厨1卫,中楼层 (共13层),97.17㎡,平层,77.1㎡,塔楼,东南,钢混结构,精装,两梯五户,有,null,2020-04-10,商品房,2016-10-20,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
84,芳园居教师新村,荔湾,235,30675元/平米,2室1厅1厨1卫,高楼层 (共25层),76.61㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,两梯八户,有,null,2020-01-15,商品房,2018-01-18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
85,可逸家园,海珠,680,65758元/平米,3室1厅1厨1卫,中楼层 (共32层),103.41㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯五户,有,null,2019-07-28,商品房,2016-08-25,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片
86,光大花园水岸榕城,海珠,448,56566元/平米,2室2厅1厨1卫,中楼层 (共17层),79.2㎡,平层,65.16㎡,塔楼,东北,钢混结构,精装,一梯四户,有,null,2019-11-27,商品房,2010-12-17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
87,广啤雅苑,荔湾,330,44000元/平米,3室1厅1厨1卫,中楼层 (共7层),75㎡,平层,67.66㎡,板楼,南,钢混结构,简装,一梯一户,有,null,2018-12-05,商品房,2011-02-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
88,万科城市花园,黄埔,318,39845元/平米,2室2厅1厨1卫,高楼层 (共11层),79.81㎡,平层,68.41㎡,塔楼,东北,钢混结构,其他,一梯四户,有,null,2020-03-11,商品房,2018-04-25,普通住宅,未满两年,非共有,"
                                有抵押 150万元
                              ",已上传房本照片
89,恒大山水城,增城,200,17152元/平米,3室2厅1厨2卫,高楼层 (共18层),116.61㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,两梯四户,有,null,2019-12-04,商品房,2012-05-14,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
